identifier,parentIdentifier,description,type,show
287,280,"Service Fees on Loans Purchased",EXPENSE,true
289,280,"Other Loan Servicing Expenses",EXPENSE,true
290,,"Professional and Outside Services",EXPENSE,true
291,290,"Legal Fees",EXPENSE,true
292,290,"Audit Fees",EXPENSE,true
293,290,"Accounting Services",EXPENSE,true
294,290,"Management Consulting Fees",EXPENSE,true
299,290,"Other Professional and Outside Services",EXPENSE,true
300,,"Provision for Loan Losses",EXPENSE,true
301,300,"Provision for Loan Losses—Consumer Loans",EXPENSE,true
302,300,"Provision for Loan Losses—Lines of Credit",EXPENSE,true
303,300,"Provision for Loan Losses—Real Estate Loans",EXPENSE,true
304,300,"Provision for Loan Losses—Other Loans",EXPENSE,true
309,300,"Other Provision for Losses",EXPENSE,true
310,,"Member Insurance",EXPENSE,true
311,310,"Saving Insurance",EXPENSE,true
312,310,"Life Savings Insurance",EXPENSE,true
313,310,"Borrowers' Insurance",EXPENSE,true
319,310,"Other Members' Insurance",EXPENSE,true
320,,"Federal Operating Fee Ledger",EXPENSE,true
330,,"Cash Over and Short Ledger",EXPENSE,true
340,,"Interest on Borrowed Money",EXPENSE,true
341,340,"Inputed Interest Costs",EXPENSE,true
342,340,"Other Interest on Borrowed Money",EXPENSE,true
350,,"Annual Meeting Expenses Ledger",EXPENSE,true
360,,"Truth in Lending Expense (TIL)",EXPENSE,true
361,360,"TIL Reimbursement of Interest Overcharges",EXPENSE,true
362,360,"TIL Restitution",EXPENSE,true
370,,"Miscellaneous Operating Expenses",EXPENSE,true
371,370,"Unexercised Commitment Fees",EXPENSE,true
372,370,"Commitment Fees on Borrowed Money",EXPENSE,true
380,,"Dividend Expenses",EXPENSE,true
380.1,380,"Regular Saving Dividend Expense",EXPENSE,true
380.2,380,"Checking Dividend Expense",EXPENSE,true
380.3,380,"Club Account Dividend Expense",EXPENSE,true
380.4,380,"IRA/Keogh Dividend Expense",EXPENSE,true
380.5,380,"Saving Certificate Dividend Expense",EXPENSE,true
380.6,380,"Money Market Dividend Expense",EXPENSE,true
380.7,380,"Other Dividend Expense",EXPENSE,true
385,380,"Interest on Deposits",EXPENSE,true
400,,"Non-Operating Income (Expense)",EXPENSE,true
420,,"Gain (Loss) on Investments",EXPENSE,true
430,,"Gain (Loss) on Disposition of Assets",EXPENSE,true
440,,"Other Non-Operating Income (Expense)",EXPENSE,true
446,,"Extraordinary Gains and Losses",EXPENSE,true
700,,"Loans to Members",ASSET,true
701,700,"Loans",ASSET,true
701.1,701,"Commercial Loans",REVENUE,true
701.2,701,"Agriculture Loans",REVENUE,true
701.3,701,"Consumer Loans",REVENUE,true
701.4,701,"Other Member Loans",REVENUE,true
701.5,701,"Home Equity Loans",REVENUE,true
701.8,701,"Net Commitment Fees—Loans to Members",REVENUE,true
701.9,701,"Net Origination Fees(Costs)—Loans to Members",REVENUE,true
702,700,"Lines of Credit to Members",REVENUE,true
702.1,702,"Lines of Credit to Members—Credit Cards",REVENUE,true
702.2,702,"Lines of Credit—Cash Advances in Process",REVENUE,true
702.3,702,"Net Origination Fees (Costs)—Lines of Credit",REVENUE,true
702.4,702,"Net Commitment Fees (Costs)—Lines of Credit",REVENUE,true
703,700,"Real Estate Loans—Over 12 Years",REVENUE,true
703.1,703,"Net Origination Fees (Costs)—Real Estate Loans Over 12 Years",REVENUE,true
704,700,"Real Estate Loans 12 Years or Less",REVENUE,true
704.1,704,"Net Origination Fees (Costs)—Real Estate Loans 12 Years or Less",REVENUE,true
705,700,"Savings Secured/Insured Loans",REVENUE,true
707,700,"Loans—Collateral in Process of Liquidation",REVENUE,true
710,,"Other Loans",REVENUE,true
711,710,"Notes and Contracts Receivable",REVENUE,true
712,710,"Loans Purchased from Liquidating Credit Union",REVENUE,true
712.1,712,"Discounts on Loans Purchased from Liquidating Credit Union",REVENUE,true
713,710,"Loans Purchased from Liquidating Credit Union—Collateral in Process of Liquidation",REVENUE,true
714,710,"Loans or Other Obligations Purchased",REVENUE,true
714.1,714,"Premium on Loans Purchased",REVENUE,true
714.2,714,"Discount on Loans Purchased",REVENUE,true
715,710,"Loan Participations Purchased",REVENUE,true
715.1,715,"Premium on Loan Participations Purchased",REVENUE,true
715.2,715,"Discount on Loan Participations Purchased",REVENUE,true
716,710,"Loan Participations Sold",REVENUE,true
716.1,716,"Loan Participations Sold (Contra Asset Account)",REVENUE,true
717,710,"Other Miscellaneous Nonmember Loans",REVENUE,true
718,710,"Loans Subject to Repurchase Agreements",REVENUE,true
719,710,"Allowance for Loan Losses",REVENUE,true
720,,"Other Receivables",REVENUE,true
721,720,"Payroll Deductions Receivable",REVENUE,true
722,720,"Receivables from Officials and Employees",REVENUE,true
723,720,"Lease Payments Receivable",REVENUE,true
724,720,"Insurance Premiums Receivable",REVENUE,true
725,720,"Advance for Taxes, Insurance, and Other Charges",REVENUE,true
727,720,"Savings Bonds Redeemed Receivable",REVENUE,true
729,720,"Other Accounts Receivable",REVENUE,true
729.1,729,"TIL Bond Claims Receivable",REVENUE,true
730,,"Cash",REVENUE,true
731,730,"Cash—Checking Account",REVENUE,true
737,730,"Cash—Government Bond Installment Payments",REVENUE,true
738,730,"Petty Cash",REVENUE,true
739,730,"Change Fund",REVENUE,true
740,,"Investments",REVENUE,true
741,740,"Government Obligations",REVENUE,true
741.1,741,"Discount on Government Obligations",REVENUE,true
741.2,741,"Premium on Government Obligations",REVENUE,true
742,740,"Federal Agency Securities",REVENUE,true
742.1,742,"Discount on Federal Agency Securities",REVENUE,true
742.2,742,"Premium on Federal Agency Securities",REVENUE,true
743,740,"Common Trust Investments",REVENUE,true
743.2,740,"Allowance for Common Trust Investment",REVENUE,true
744,740,"Savings, Deposits and Certificates of Corporate Central Credit Unions",REVENUE,true
745,740,"Savings, Deposits and Certificates of Other Credit Unions",REVENUE,true
746,740,"Other Savings, Deposits and Certificates",REVENUE,true
746.1,746,"Commercial Bank Deposits",REVENUE,true
746.2,746,"Savings and Loans and Savings Bank Deposits",REVENUE,true
747,740,"Loans to Other Credit Unions",REVENUE,true
748,740,"Investments in Credit Union Service Corporations",REVENUE,true
748.1,748,"Investments in Credit Union Service Corporations",REVENUE,true
748.2,748,"Loans to Credit Union Service Corporations",REVENUE,true
750,,"Investments—Investment Allowance",ASSET,true
751,750,"Investment in the Central Liquidity Facility",ASSET,true
751.1,751,"Investment in CLF Membership Stock",ASSET,true
751.2,751,"Investment in CLF Liquidity Clearing",ASSET,true
752,750,"Investment in Saving Insurance Capitalization Fund",ASSET,true
753,750,"Investment in Branch",ASSET,true
755,750,"Purchased Accrued Interest Receivable",ASSET,true
758,750,"Allowances for Losses on Investment",ASSET,true
759,750,"Trading Securities",ASSET,true
760,,"Prepaid Expenses and Deferred Charges",ASSET,true
762,760,"Deferred Charges—Commitment Fees Paid in Connection With the Acquisition of Borrowed Funds",ASSET,true
763,760,"Deferred Charges—Commitment Fees on Loans to Be Purchased",ASSET,true
764,760,"Prepaid Rent",ASSET,true
765,760,"Prepaid Saving Insurance",ASSET,true
766,760,"Other Prepaid Insurance",ASSET,true
767,760,"Deferred Pension Cost",ASSET,true
768,760,"Unamortized Organization Costs",ASSET,true
769,760,"Other Prepaid Expenses and Deferred Charges",ASSET,true
770,,"Fixed Assets",ASSET,true
771,770,"Land",ASSET,true
772,770,"Building",ASSET,true
773,770,"Allowance for Depreciation of Building",ASSET,true
774,770,"Furniture and Equipment",ASSET,true
775,770,"Allowance for Depreciation of Furniture and Equipment",ASSET,true
776,770,"Leasehold Improvements",ASSET,true
777,770,"Allowance for Amortization of Leasehold Improvement",ASSET,true
778,770,"Leased Assets under Capital Lease",ASSET,true
779,770,"Allowance for Depreciation of Leased Assets",ASSET,true
780,,"Accrued Income",ASSET,true
781,780,"Accrued Interest on Loans",ASSET,true
782,780,"Accrued Income on Investments",ASSET,true
783,780,"Accrued Credit Card Income",ASSET,true
784,780,"Accrued Interest on Real Estate Loans",ASSET,true
785,780,"Purchased Accrued Interest Receivable on Loans (100%)",ASSET,true
786,780,"Accrued Interest on Loan Participations Purchased",ASSET,true
787,780,"Accrued Interest—Other Lines of Credit to Members",ASSET,true
789,780,"Other Accrued Income",ASSET,true
790,,"Other Assets",ASSET,true
792,790,"Insurance Premium Stabilization",ASSET,true
793,790,"Monetary Control Reserve Deposits",ASSET,true
797,790,"Advance Payments by Borrowers for Taxes and Insurance on Serviced Loans",ASSET,true
798,790,"Assets Acquired in Liquidation on Loans",ASSET,true
799,790,"Other Assets",ASSET,true
800,,"Accounts Payable",LIABILITY,true
801,800,"Accounts Payable",LIABILITY,true
801.1,801,"Accounts Payable—Travelers’ Checks and Money Orders",LIABILITY,true
802,800,"Accounts Payable—Undistributed Payments",LIABILITY,true
802.1,802,"Accounts Payable—Credit Card Payments in Process",LIABILITY,true
802.2,802,"Accounts Payable—Credit Card Adjustments in Process",LIABILITY,true
802.3,802,"Accounts Payable—Credit Card Chargebacks in Process",LIABILITY,true
803,803,"Accounts Payable—Undistributed Payroll Deductions or Allotments",LIABILITY,true
804,800,"Accounts Payable—Check Transmittal Service",LIABILITY,true
805,800,"Accounts Payable—Drafts Authorized",LIABILITY,true
806,800,"Accounts Payable—Installment Payments on U.S. Bonds",LIABILITY,true
807,800,"Accounts Payable—U.S. Savings Bond Remittances",LIABILITY,true
808,800,"Real Estate Loans Payable",LIABILITY,true
809,800,"Escrow Accounts",LIABILITY,true
810,,"Notes and Interest Payable",LIABILITY,true
811,810,"Mortgage Notes Payable",LIABILITY,true
812,810,"Notes Payable—Other",LIABILITY,true
812.1,812,"Notes Payable—Commitment Fees",LIABILITY,true
813,810,"Federal Funds Payable",LIABILITY,true
818,810,"Accrued Interest Payable",LIABILITY,true
820,,"Dividends Payable",LIABILITY,true
820.1,820,"Dividends Payable on Regular Savings",LIABILITY,true
820.2,820,"Dividends Payable on Checking",LIABILITY,true
820.3,820,"Dividends Payable on Club Accounts",LIABILITY,true
820.4,820,"Dividends Payable on Retirement Accounts",LIABILITY,true
820.5,820,"Dividends Payable on Checking",LIABILITY,true
820.6,820,"Dividends Payable on Money Market Accounts",LIABILITY,true
820.7,820,"Dividends Payable on Other Accounts",LIABILITY,true
830,,"Interest Refunds Payable",LIABILITY,true
840,,"Taxes Payable",LIABILITY,true
841,840,"Federal Withholding Taxes Payable",LIABILITY,true
842,840,"State Withholding Taxes Payable",LIABILITY,true
845,840,"City Withholding Taxes Payable",LIABILITY,true
846,840,"Social Security Taxes Payable",LIABILITY,true
847,840,"Federal Unemployment Compensation Tax Payable",LIABILITY,true
848,840,"State Unemployment Compensation Tax Payable",LIABILITY,true
849,840,"Other Taxes Payable",LIABILITY,true
850,,"Accrued Expenses",LIABILITY,true
851,850,"Accrued Salaries",LIABILITY,true
852,850,"Accrued Employee Benefits",LIABILITY,true
853,850,"Accrued Cost of Space Occupied",LIABILITY,true
854,850,"Accrued Dividends Payable",LIABILITY,true
855,850,"Accrued Accounting Service Cash",LIABILITY,true
856,850,"Accrued Loss Contingencies",LIABILITY,true
859,850,"Other Accrued Expenses",LIABILITY,true
860,,"Other Liabilities",LIABILITY,true
861,860,"Liability Under Pension Plan",LIABILITY,true
862,860,"Collections on Loans and Other Obligations Serviced",LIABILITY,true
863,860,"Obligation Under Capital Lease",LIABILITY,true
864,860,"Monetary Control Pass Through Deposits",LIABILITY,true
865,860,"Main Office",LIABILITY,true
866,860,"Undisbursed Loan Proceeds",LIABILITY,true
869,860,"Other Liabilities",LIABILITY,true
870,,"Unapplied Data Processing Exceptions",LIABILITY,true
871,870,"Unapplied Data Processing Exceptions (Receipts)",LIABILITY,true
872,870,"Unapplied Data Processing Exceptions (Disbursements)",LIABILITY,true
880,,"Deferred Credits",LIABILITY,true
881,880,"Unearned Interest on Loans",LIABILITY,true
882,880,"Deferred Credits—Insurance Premium Rebates",LIABILITY,true
883,880,"Deferred Gain on Liquidation of Loans",LIABILITY,true
883.1,883,"Deferred Gain on Transfer of Securities",LIABILITY,true
884,880,"Deferred Credits—Credit Card Commitments",LIABILITY,true
885,880,"Deferred Credits—Prepaid Interest—Real Estate Loans",LIABILITY,true
886,880,"Unamortized Discount on Sale of Assets",LIABILITY,true
887,880,"Deferred Credits—Fees Received on Loans to be Purchased",LIABILITY,true
888,880,"Deferred Credits—Insurance Premium Stabilization Reserve",LIABILITY,true
889,880,"Other Deferred Credits",LIABILITY,true
890,,"Deferred Credits—Net Origination Fees (Costs)—Lines of Credit to Members",LIABILITY,true
891,890,"Deferred Credits—Net Origination Fees (Costs)—Lines of Credit to Members—Credit Cards",LIABILITY,true
892,890,"Deferred Credits—Net Origination Fees (Costs)—Home Equity Lines of Credit",LIABILITY,true
893,890,"Deferred Credits—Net Commitment Fees (Costs)—Home Equity Lines of Credit",LIABILITY,true
894,890,"Deferred Credits—Net Commitment Fees (Costs)—Loans to Members",LIABILITY,true
900,,"Savings of Members",EQUITY,true
901,900,"Regular Savings",EQUITY,true
902,900,"Checking",EQUITY,true
903,900,"Club Accounts",EQUITY,true
904,900,"Other Savings",EQUITY,true
905,900,"Escrow Accounts",EQUITY,true
906,900,"IRA/Keogh Retirement Services",EQUITY,true
908,900,"Saving Certificates",EQUITY,true
909,900,"Savings—Unposted Payroll Deductions",EQUITY,true
910,900,"Public Unit Shares",EQUITY,true
911,900,"Money Market Savings",EQUITY,true
921,900,"Checking",EQUITY,true
925,,"Deposits",EQUITY,true
930,,"Reserves",EQUITY,true
931,930,"Regular Reserves",EQUITY,true
932,930,"Special Reserve for Losses",EQUITY,true
933,930,"Other Revocable Reserves",EQUITY,true
934,930,"Reserve for Loss Contingencies",EQUITY,true
935,930,"Corporate Central Reserve",EQUITY,true
940,,"Undivided Earnings",EQUITY,true
942,940,"Appropriated Undivided Earnings",EQUITY,true
945,940,"Unrealized Loss in Value of Long-term Investment in Equity Securities",EQUITY,true
950,,"Donated Equity",EQUITY,true
960,,"Net Income (Loss)",EQUITY,true
